Omics,Gene,Cell,Weight
1,62,71,0.0
0,2,72,0.0
0,3,72,0.0
0,4,72,0.0
0,5,72,0.0
0,6,72,0.0
0,7,72,0.0
0,8,72,0.0
0,9,72,0.0
0,10,72,0.0
0,11,72,17.79135671
0,12,72,0.0
0,13,72,0.0
0,14,72,0.0
0,15,72,0.0
0,16,72,0.0
0,17,72,16.80950904
0,18,72,0.0
0,19,72,15.15405951
0,20,72,0.0
0,21,72,2.52986818
0,22,72,0.0
0,23,72,0.0
0,24,72,0.0
0,25,72,0.0
0,26,72,0.0
0,27,72,0.0
0,28,72,19.69149656
0,29,72,18.86060868
0,30,72,0.0
0,31,72,0.0
0,32,72,0.0
0,33,72,0.0
0,34,72,0.0
0,35,72,0.0
1,36,72,1.0
1,37,72,0.0
1,38,72,0.0
1,39,72,0.0
1,40,72,0.0
1,41,72,1.0
1,42,72,1.0
1,43,72,0.0
1,44,72,0.0
1,45,72,1.0
1,46,72,1.0
1,47,72,1.0
1,48,72,0.0
1,49,72,0.0
1,50,72,1.0
1,51,72,1.0
1,52,72,1.0
1,53,72,0.0
1,54,72,0.0
1,55,72,1.0
1,56,72,1.0
1,57,72,0.0
1,58,72,1.0
1,59,72,0.0
1,60,72,0.0
1,61,72,0.0
1,62,72,1.0
0,2,73,0.0
0,3,73,0.0
0,4,73,0.0
0,5,73,0.0
0,6,73,0.0
0,7,73,0.0
0,8,73,0.0
0,9,73,0.0
0,10,73,0.0
0,11,73,16.92206519
0,12,73,0.0
0,13,73,0.0
0,14,73,0.0
0,15,73,0.0
0,16,73,0.0
0,17,73,14.93222465
0,18,73,0.0
0,19,73,16.81987155
0,20,73,0.0
0,21,73,0.0
0,22,73,0.0
0,23,73,0.0
0,24,73,0.0
0,25,73,0.0
0,26,73,0.0
0,27,73,0.0
0,28,73,18.70436371
0,29,73,19.70280949
0,30,73,0.0
0,31,73,4.52936967
0,32,73,0.0
0,33,73,0.0
0,34,73,0.0
0,35,73,0.0
1,36,73,1.0
1,37,73,1.0
1,38,73,1.0
1,39,73,0.0
1,40,73,0.0
1,41,73,1.0
1,42,73,1.0
1,43,73,0.0
1,44,73,0.0
1,45,73,1.0
1,46,73,1.0
1,47,73,1.0
1,48,73,1.0
1,49,73,1.0
1,50,73,1.0
1,51,73,1.0
1,52,73,1.0
1,53,73,0.0
1,54,73,0.0
1,55,73,1.0
1,56,73,1.0
1,57,73,0.0
1,58,73,1.0
1,59,73,0.0
1,60,73,0.0
1,61,73,0.0
1,62,73,0.0
0,2,74,0.0
0,3,74,0.0
0,4,74,0.0
0,5,74,0.0
0,6,74,0.0
0,7,74,0.0
0,8,74,0.0
0,9,74,0.0
0,10,74,0.0
0,11,74,17.15504612
0,12,74,0.0
0,13,74,0.0
0,14,74,0.0
0,15,74,0.0
0,16,74,9.22059869
0,17,74,19.1351072
0,18,74,0.0
0,19,74,19.61522607
0,20,74,0.0
0,21,74,14.72125
0,22,74,0.0
0,23,74,0.0
0,24,74,0.0
0,25,74,0.0
0,26,74,0.0
0,27,74,0.0
0,28,74,20.61457549
0,29,74,18.52926894
0,30,74,0.0
0,31,74,7.48482382
0,32,74,0.0
0,33,74,0.0
0,34,74,0.0
0,35,74,0.0
1,36,74,1.0
1,37,74,1.0
1,38,74,1.0
1,39,74,1.0
1,40,74,1.0
1,41,74,0.0
1,42,74,1.0
1,43,74,1.0
1,44,74,0.0
1,45,74,1.0
1,46,74,1.0
1,47,74,1.0
1,48,74,0.0
1,49,74,0.0
1,50,74,1.0
1,51,74,1.0
1,52,74,1.0
1,53,74,0.0
1,54,74,0.0
1,55,74,1.0
1,56,74,1.0
1,57,74,0.0
1,58,74,1.0
1,59,74,0.0
1,60,74,0.0
1,61,74,0.0
1,62,74,0.0
0,2,75,0.0
0,3,75,0.0
0,4,75,0.0
0,5,75,0.0
0,6,75,0.0
0,7,75,0.0
0,8,75,0.0
0,9,75,0.0
0,10,75,0.0
0,11,75,16.16814084
0,12,75,0.0
0,13,75,0.0
0,14,75,0.0
0,15,75,0.0
0,16,75,0.0
0,17,75,17.67190741
0,18,75,0.0
0,19,75,17.07158402
0,20,75,0.0
0,21,75,4.22226691
0,22,75,0.0
0,23,75,0.0
0,24,75,0.0
0,25,75,0.0
0,26,75,0.0
0,27,75,3.90571926
0,28,75,19.45098435
0,29,75,20.08687087
0,30,75,0.0
0,31,75,4.11586187
0,32,75,0.0
0,33,75,0.0
0,34,75,0.0
0,35,75,0.0
1,36,75,1.0
1,37,75,1.0
1,38,75,0.0
1,39,75,0.0
1,40,75,0.0
1,41,75,0.0
1,42,75,1.0
1,43,75,1.0
1,44,75,0.0
1,45,75,1.0
1,46,75,1.0
1,47,75,1.0
1,48,75,0.0
1,49,75,0.0
1,50,75,1.0
1,51,75,1.0
1,52,75,1.0
1,53,75,1.0
1,54,75,0.0
1,55,75,0.0
1,56,75,1.0
1,57,75,0.0
1,58,75,1.0
1,59,75,1.0
1,60,75,0.0
1,61,75,0.0
1,62,75,0.0
0,2,76,0.0
0,3,76,0.0
0,4,76,0.0
0,5,76,0.0
0,6,76,0.0
0,7,76,0.0
0,8,76,0.0
0,9,76,0.0
0,10,76,0.0
0,11,76,18.33662671
0,12,76,0.0
0,13,76,0.0
0,14,76,0.0
0,15,76,0.0
0,16,76,0.0
0,17,76,16.57070699
0,18,76,0.0
0,19,76,15.75773771
0,20,76,0.0
0,21,76,2.68555865
0,22,76,0.0
0,23,76,0.0
0,24,76,0.0
0,25,76,0.0
0,26,76,0.0
0,27,76,0.0
0,28,76,19.90632427
0,29,76,19.36103385
0,30,76,0.0
0,31,76,7.58923902
0,32,76,0.0
0,33,76,0.0
0,34,76,0.0
0,35,76,0.0
1,36,76,1.0
1,37,76,0.0
1,38,76,0.0
1,39,76,0.0
1,40,76,0.0
1,41,76,0.0
1,42,76,1.0
1,43,76,1.0
1,44,76,0.0
1,45,76,1.0
1,46,76,1.0
1,47,76,1.0
1,48,76,0.0
1,49,76,0.0
1,50,76,1.0
1,51,76,1.0
1,52,76,1.0
1,53,76,0.0
1,54,76,0.0
1,55,76,1.0
1,56,76,0.0
1,57,76,0.0
1,58,76,1.0
1,59,76,1.0
1,60,76,0.0
1,61,76,0.0
1,62,76,0.0
0,2,77,0.0
0,3,77,0.0
0,4,77,0.0
0,5,77,0.0
0,6,77,0.0
0,7,77,0.0
0,8,77,0.0
0,9,77,0.0
0,10,77,0.0
0,11,77,15.56807992
0,12,77,0.0
0,13,77,0.0
0,14,77,0.0
0,15,77,0.0
0,16,77,0.0
0,17,77,17.03818995
0,18,77,0.0
0,19,77,17.60672482
0,20,77,0.0
0,21,77,0.0
0,22,77,0.0
0,23,77,0.0
0,24,77,0.0
0,25,77,0.0
0,26,77,0.0
0,27,77,0.0
0,28,77,19.40836666
0,29,77,19.0347673
0,30,77,0.0
0,31,77,4.76399604
0,32,77,0.0
0,33,77,0.0
0,34,77,0.0
0,35,77,0.0
1,36,77,1.0
1,37,77,1.0
1,38,77,0.0
1,39,77,0.0
1,40,77,0.0
1,41,77,1.0
1,42,77,1.0
1,43,77,1.0
1,44,77,0.0
1,45,77,1.0
1,46,77,1.0
1,47,77,1.0
1,48,77,0.0
1,49,77,0.0
1,50,77,1.0
1,51,77,1.0
1,52,77,1.0
1,53,77,0.0
1,54,77,0.0
1,55,77,1.0
1,56,77,1.0
1,57,77,0.0
1,58,77,1.0
1,59,77,1.0
1,60,77,0.0
1,61,77,0.0
1,62,77,0.0
0,2,78,0.0
0,3,78,0.0
0,4,78,0.0
0,5,78,0.0
0,6,78,0.0
0,7,78,0.0
0,8,78,0.0
0,9,78,0.0
0,10,78,0.0
0,11,78,15.87177211
0,12,78,0.0
0,13,78,0.0
0,14,78,0.0
0,15,78,0.0
0,16,78,0.0
0,17,78,0.0
0,18,78,0.0
0,19,78,19.89423818
0,20,78,0.0
0,21,78,5.96882111
0,22,78,0.0
0,23,78,0.0
0,24,78,0.0
0,25,78,0.0
0,26,78,8.75962419
0,27,78,4.69372463
0,28,78,19.64472175
0,29,78,19.35305151
0,30,78,0.0
0,31,78,5.81372679
0,32,78,0.0
0,33,78,0.0
0,34,78,0.0
0,35,78,0.0
1,36,78,1.0
1,37,78,1.0
1,38,78,0.0
1,39,78,0.0
1,40,78,0.0
1,41,78,0.0
1,42,78,1.0
1,43,78,1.0
1,44,78,0.0
1,45,78,1.0
1,46,78,1.0
1,47,78,1.0
1,48,78,0.0
1,49,78,1.0
1,50,78,1.0
1,51,78,1.0
1,52,78,1.0
1,53,78,0.0
1,54,78,1.0
1,55,78,1.0
1,56,78,1.0
1,57,78,1.0
1,58,78,1.0
1,59,78,1.0
1,60,78,0.0
1,61,78,0.0
1,62,78,0.0
0,2,79,0.0
0,3,79,0.0
0,4,79,0.0
0,5,79,0.0
0,6,79,0.0
0,7,79,0.0
0,8,79,15.33258825
0,9,79,0.0
0,10,79,0.0
0,11,79,18.19726068
0,12,79,0.0
0,13,79,0.0
0,14,79,0.0
0,15,79,0.0
0,16,79,6.47625955
0,17,79,18.72408328
0,18,79,0.0
0,19,79,17.39771939
0,20,79,0.0
0,21,79,7.45964831
0,22,79,0.0
0,23,79,0.0
0,24,79,7.27496866
0,25,79,0.0
0,26,79,7.54938274
0,27,79,4.85375658
0,28,79,20.03625588
0,29,79,18.97200121
0,30,79,0.0
0,31,79,5.00601019
0,32,79,0.0
0,33,79,0.0
0,34,79,0.0
0,35,79,0.0
1,36,79,1.0
1,37,79,0.0
1,38,79,0.0
1,39,79,0.0
1,40,79,1.0
1,41,79,1.0
1,42,79,1.0
1,43,79,0.0
1,44,79,0.0
1,45,79,1.0
1,46,79,1.0
1,47,79,1.0
1,48,79,0.0
1,49,79,0.0
1,50,79,1.0
1,51,79,1.0
1,52,79,1.0
1,53,79,0.0
1,54,79,0.0
1,55,79,1.0
1,56,79,0.0
1,57,79,0.0
1,58,79,1.0
1,59,79,0.0
1,60,79,0.0
1,61,79,0.0
